no,topic,description,example
432,Reaction: Acetic Acid with Cl2 (aqueous),"Reaction: Acetic Acid with Cl2 (aqueous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
433,Reaction: Acetic Acid with HBr (in DMSO),"Reaction: Acetic Acid with HBr (in DMSO): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
434,Reaction: Acetic Acid with HCl (sunlight),"Reaction: Acetic Acid with HCl (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
435,Reaction: Acetic Acid with SOCl2 (0 °C),"Reaction: Acetic Acid with SOCl2 (0 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
436,Reaction: Acetic Acid with PCl5 (anhydrous),"Reaction: Acetic Acid with PCl5 (anhydrous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
437,Reaction: Acetic Acid with NH3 (UV light),"Reaction: Acetic Acid with NH3 (UV light): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
438,Reaction: Acetic Acid with NaOH (aqueous),"Reaction: Acetic Acid with NaOH (aqueous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
439,Reaction: Acetic Acid with KOH (−78 °C),"Reaction: Acetic Acid with KOH (−78 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
440,Reaction: Acetic Acid with NaCN (acidic medium),"Reaction: Acetic Acid with NaCN (acidic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
441,Reaction: Acetic Acid with Grignard (RMgX) (sunlight),"Reaction: Acetic Acid with Grignard (RMgX) (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
442,Reaction: Benzoic Acid with NaBH4 (−78 °C),"Reaction: Benzoic Acid with NaBH4 (−78 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
443,Reaction: Benzoic Acid with LiAlH4 (reflux),"Reaction: Benzoic Acid with LiAlH4 (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
444,Reaction: Benzoic Acid with KMnO4 (solvent‑free),"Reaction: Benzoic Acid with KMnO4 (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
445,Reaction: Benzoic Acid with CrO3 (basic medium),"Reaction: Benzoic Acid with CrO3 (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
446,Reaction: Benzoic Acid with H2/Pd (sunlight),"Reaction: Benzoic Acid with H2/Pd (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
447,Reaction: Benzoic Acid with Br2 (acidic medium),"Reaction: Benzoic Acid with Br2 (acidic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
448,Reaction: Benzoic Acid with Cl2 (room temperature),"Reaction: Benzoic Acid with Cl2 (room temperature): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
449,Reaction: Benzoic Acid with HBr (in ether),"Reaction: Benzoic Acid with HBr (in ether): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
450,Reaction: Benzoic Acid with HCl (0 °C),"Reaction: Benzoic Acid with HCl (0 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
451,Reaction: Benzoic Acid with SOCl2 (reflux),"Reaction: Benzoic Acid with SOCl2 (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
452,Reaction: Benzoic Acid with PCl5 (anhydrous),"Reaction: Benzoic Acid with PCl5 (anhydrous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
453,Reaction: Benzoic Acid with NH3 (room temperature),"Reaction: Benzoic Acid with NH3 (room temperature): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
454,Reaction: Benzoic Acid with NaOH (UV light),"Reaction: Benzoic Acid with NaOH (UV light): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
455,Reaction: Benzoic Acid with KOH (UV light),"Reaction: Benzoic Acid with KOH (UV light): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
456,Reaction: Benzoic Acid with NaCN (in DMSO),"Reaction: Benzoic Acid with NaCN (in DMSO): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
457,Reaction: Benzoic Acid with Grignard (RMgX) (sunlight),"Reaction: Benzoic Acid with Grignard (RMgX) (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
458,Reaction: Glucose with NaBH4 (basic medium),"Reaction: Glucose with NaBH4 (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
459,Reaction: Glucose with LiAlH4 (reflux),"Reaction: Glucose with LiAlH4 (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
460,Reaction: Glucose with KMnO4 (sunlight),"Reaction: Glucose with KMnO4 (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
461,Reaction: Glucose with CrO3 (UV light),"Reaction: Glucose with CrO3 (UV light): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
462,Reaction: Glucose with H2/Pd (microwave),"Reaction: Glucose with H2/Pd (microwave): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
463,Reaction: Glucose with Br2 (0 °C),"Reaction: Glucose with Br2 (0 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
464,Reaction: Glucose with Cl2 (reflux),"Reaction: Glucose with Cl2 (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
465,Reaction: Glucose with HBr (in DMSO),"Reaction: Glucose with HBr (in DMSO): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
466,Reaction: Glucose with HCl (UV light),"Reaction: Glucose with HCl (UV light): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
467,Reaction: Glucose with SOCl2 (in DMSO),"Reaction: Glucose with SOCl2 (in DMSO): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
468,Reaction: Glucose with PCl5 (microwave),"Reaction: Glucose with PCl5 (microwave): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
469,Reaction: Glucose with NH3 (0 °C),"Reaction: Glucose with NH3 (0 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
470,Reaction: Glucose with NaOH (anhydrous),"Reaction: Glucose with NaOH (anhydrous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
471,Reaction: Glucose with KOH (UV light),"Reaction: Glucose with KOH (UV light): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
472,Reaction: Glucose with NaCN (−78 °C),"Reaction: Glucose with NaCN (−78 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
473,Reaction: Glucose with Grignard (RMgX) (aqueous),"Reaction: Glucose with Grignard (RMgX) (aqueous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
474,Reaction: Fructose with NaBH4 (UV light),"Reaction: Fructose with NaBH4 (UV light): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
475,Reaction: Fructose with LiAlH4 (room temperature),"Reaction: Fructose with LiAlH4 (room temperature): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
476,Reaction: Fructose with KMnO4 (reflux),"Reaction: Fructose with KMnO4 (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
477,Reaction: Fructose with CrO3 (basic medium),"Reaction: Fructose with CrO3 (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
478,Reaction: Fructose with H2/Pd (reflux),"Reaction: Fructose with H2/Pd (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
479,Reaction: Fructose with Br2 (reflux),"Reaction: Fructose with Br2 (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
480,Reaction: Fructose with Cl2 (room temperature),"Reaction: Fructose with Cl2 (room temperature): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
481,Reaction: Fructose with HBr (aqueous),"Reaction: Fructose with HBr (aqueous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
482,Reaction: Fructose with HCl (room temperature),"Reaction: Fructose with HCl (room temperature): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
483,Reaction: Fructose with SOCl2 (acidic medium),"Reaction: Fructose with SOCl2 (acidic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
484,Reaction: Fructose with PCl5 (sunlight),"Reaction: Fructose with PCl5 (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
485,Reaction: Fructose with NH3 (in DMSO),"Reaction: Fructose with NH3 (in DMSO): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
486,Reaction: Fructose with NaOH (solvent‑free),"Reaction: Fructose with NaOH (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
487,Reaction: Fructose with KOH (reflux),"Reaction: Fructose with KOH (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
488,Reaction: Fructose with NaCN (0 °C),"Reaction: Fructose with NaCN (0 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
489,Reaction: Fructose with Grignard (RMgX) (0 °C),"Reaction: Fructose with Grignard (RMgX) (0 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
490,Reaction: Toluene with NaBH4 (acidic medium),"Reaction: Toluene with NaBH4 (acidic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
491,Reaction: Toluene with LiAlH4 (reflux),"Reaction: Toluene with LiAlH4 (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
492,Reaction: Toluene with KMnO4 (UV light),"Reaction: Toluene with KMnO4 (UV light): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
493,Reaction: Toluene with CrO3 (microwave),"Reaction: Toluene with CrO3 (microwave): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
494,Reaction: Toluene with H2/Pd (−78 °C),"Reaction: Toluene with H2/Pd (−78 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
495,Reaction: Toluene with Br2 (solvent‑free),"Reaction: Toluene with Br2 (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
496,Reaction: Toluene with Cl2 (solvent‑free),"Reaction: Toluene with Cl2 (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
497,Reaction: Toluene with HBr (−78 °C),"Reaction: Toluene with HBr (−78 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
498,Reaction: Toluene with HCl (reflux),"Reaction: Toluene with HCl (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
499,Reaction: Toluene with SOCl2 (anhydrous),"Reaction: Toluene with SOCl2 (anhydrous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
500,Reaction: Toluene with PCl5 (in DMSO),"Reaction: Toluene with PCl5 (in DMSO): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
501,Reaction: Toluene with NH3 (microwave),"Reaction: Toluene with NH3 (microwave): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
502,Reaction: Toluene with NaOH (solvent‑free),"Reaction: Toluene with NaOH (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
503,Reaction: Toluene with KOH (aqueous),"Reaction: Toluene with KOH (aqueous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
504,Reaction: Toluene with NaCN (aqueous),"Reaction: Toluene with NaCN (aqueous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
