no,topic,description,example
466,Maxwell's Equations in Superconductor,"Maxwell's Equations in Superconductor: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
467,Maxwell's Equations in Plasma,"Maxwell's Equations in Plasma: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
468,Maxwell's Equations in Semiconductor,"Maxwell's Equations in Semiconductor: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
469,Maxwell's Equations in Ferromagnetic Material,"Maxwell's Equations in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
470,Maxwell's Equations in Paramagnetic Material,"Maxwell's Equations in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
471,Maxwell's Equations in Diamagnetic Material,"Maxwell's Equations in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
472,Maxwell's Equations in Metamaterial,"Maxwell's Equations in Metamaterial: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
473,Maxwell's Equations with Dirichlet Boundary Conditions,"Maxwell's Equations with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
474,Maxwell's Equations with Neumann Boundary Conditions,"Maxwell's Equations with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
475,Maxwell's Equations with Periodic Boundary Conditions,"Maxwell's Equations with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
476,Maxwell's Equations with Mixed Boundary Conditions,"Maxwell's Equations with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
477,Maxwell's Equations with Radiation Boundary,"Maxwell's Equations with Radiation Boundary: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
478,Maxwell's Equations with Perfect Conductor Boundary,"Maxwell's Equations with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
479,Schrödinger Equation in Spherical Shell,"Schrödinger Equation in Spherical Shell: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
480,Schrödinger Equation in Infinite Plane,"Schrödinger Equation in Infinite Plane: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
481,Schrödinger Equation in Long Solenoid,"Schrödinger Equation in Long Solenoid: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
482,Schrödinger Equation in Toroid,"Schrödinger Equation in Toroid: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
483,Schrödinger Equation in Coaxial Cable,"Schrödinger Equation in Coaxial Cable: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
484,Schrödinger Equation in Parallel Plate,"Schrödinger Equation in Parallel Plate: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
485,Schrödinger Equation in Cylindrical Cavity,"Schrödinger Equation in Cylindrical Cavity: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
486,Schrödinger Equation in Rectangular Waveguide,"Schrödinger Equation in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
487,Schrödinger Equation in Fabry–Pérot Cavity,"Schrödinger Equation in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
488,Schrödinger Equation in Spherical Cavity,"Schrödinger Equation in Spherical Cavity: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
489,Schrödinger Equation in Cylindrical Shell,"Schrödinger Equation in Cylindrical Shell: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
490,Schrödinger Equation in Spherical Capacitor,"Schrödinger Equation in Spherical Capacitor: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
491,Schrödinger Equation in Coil Pair (Helmholtz),"Schrödinger Equation in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
492,Schrödinger Equation in Dipole Field,"Schrödinger Equation in Dipole Field: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
493,Schrödinger Equation in Quadrupole Field,"Schrödinger Equation in Quadrupole Field: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
494,Schrödinger Equation in Vacuum,"Schrödinger Equation in Vacuum: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
495,Schrödinger Equation in Dielectric Medium,"Schrödinger Equation in Dielectric Medium: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
496,Schrödinger Equation in Conducting Medium,"Schrödinger Equation in Conducting Medium: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
497,Schrödinger Equation in Anisotropic Medium,"Schrödinger Equation in Anisotropic Medium: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
498,Schrödinger Equation in Superconductor,"Schrödinger Equation in Superconductor: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
499,Schrödinger Equation in Plasma,"Schrödinger Equation in Plasma: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
500,Schrödinger Equation in Semiconductor,"Schrödinger Equation in Semiconductor: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
501,Schrödinger Equation in Ferromagnetic Material,"Schrödinger Equation in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
502,Schrödinger Equation in Paramagnetic Material,"Schrödinger Equation in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
503,Schrödinger Equation in Diamagnetic Material,"Schrödinger Equation in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
504,Schrödinger Equation in Metamaterial,"Schrödinger Equation in Metamaterial: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
505,Schrödinger Equation with Dirichlet Boundary Conditions,"Schrödinger Equation with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
506,Schrödinger Equation with Neumann Boundary Conditions,"Schrödinger Equation with Neumann Boundary Conditions: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
507,Schrödinger Equation with Periodic Boundary Conditions,"Schrödinger Equation with Periodic Boundary Conditions: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
508,Schrödinger Equation with Mixed Boundary Conditions,"Schrödinger Equation with Mixed Boundary Conditions: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
509,Schrödinger Equation with Radiation Boundary,"Schrödinger Equation with Radiation Boundary: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
510,Schrödinger Equation with Perfect Conductor Boundary,"Schrödinger Equation with Perfect Conductor Boundary: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
511,Heat Equation in Spherical Shell,"Heat Equation in Spherical Shell: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
512,Heat Equation in Infinite Plane,"Heat Equation in Infinite Plane: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
513,Heat Equation in Long Solenoid,"Heat Equation in Long Solenoid: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
514,Heat Equation in Toroid,"Heat Equation in Toroid: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
515,Heat Equation in Coaxial Cable,"Heat Equation in Coaxial Cable: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
516,Heat Equation in Parallel Plate,"Heat Equation in Parallel Plate: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
517,Heat Equation in Cylindrical Cavity,"Heat Equation in Cylindrical Cavity: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
518,Heat Equation in Rectangular Waveguide,"Heat Equation in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
519,Heat Equation in Fabry–Pérot Cavity,"Heat Equation in Fabry–Pérot Cavity: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
520,Heat Equation in Spherical Cavity,"Heat Equation in Spherical Cavity: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
521,Heat Equation in Cylindrical Shell,"Heat Equation in Cylindrical Shell: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
522,Heat Equation in Spherical Capacitor,"Heat Equation in Spherical Capacitor: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
523,Heat Equation in Coil Pair (Helmholtz),"Heat Equation in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
524,Heat Equation in Dipole Field,"Heat Equation in Dipole Field: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
525,Heat Equation in Quadrupole Field,"Heat Equation in Quadrupole Field: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
526,Heat Equation in Vacuum,"Heat Equation in Vacuum: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
527,Heat Equation in Dielectric Medium,"Heat Equation in Dielectric Medium: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
